"Love you sir!!",positive
"Please make videos on..Midpoint circle drawing And Bresenham's circle drawing...",imperative
"I bought both of your courses on Udemy. You are a very talented teacher. Keep producing quality material. When is your Java course coming along? . I am looking forward to it.",interrogative
"Thank you very much, u really got me in the first video about this algorithm without explanation lol",positive
"i hope u are ok with everything going on against muslims in indea <3",miscellaneous
"Another great explanation by Abdul sir. Thank you so much.",positive
"do I have to take notes or just see these videos which are helpful",interrogative
"I had no idea what was going on in the first one, but this one cleared everything up!",positive
"Just one suggestion: if possible can you provide a link to github links to implementation of your videos as well ? I've tried to watch your videos and implement them in Java but every time I mess up and want to cross-check my implementation, there is no reference code. It would help a lot if you can post a links to implementation of your algorithms :) Thank you",interrogative
"Thankkk youuuuu soooo sooo much sir",positive
"you are a absolute genius. Extremely helpful for understanding the content. Much better than most of the professors in my university. Thank you so much. BTW, can you probably publish more videos about DP for how to create the DP formula? I am having problems on different kind of DP problem formula creating. And would you publish more videos about NP and NP complete? I watched the video you did for NP and NP complete problem but it did not talk about how to prove a problem is NP complete in detail such as how to use reduction to prove it?",interrogative
"great job!!!!",positive
"Thank you Sir !!",positive
"Thank you so much ❤️",positive
"Sir you're doing really great job ..GOD may richly bless you and your family ..much love",positive
"I love when he is wearing red because the video is updated :D brilliant",positive
"Wonderful explanation (straight from the heaven)",positive
"Waw  at the first video I got a confusion,but at this video I have got it.  10Q so much.",positive
"Thank you Sir",positive
"Sir please upload Approximation Algorithms videos also!! @AbdulBari",imperative
"Asslamualikum my dear honorable sir Can I know where you from",interrogative
"main aapki jitni prashansa karu, kam hai.",positive
"I love this man!",positive
"I swear you're the savior of every single CS student. God bless you!. ;-;",positive
"sir thank you very very much from the bottom of my heart your work helped me alot🙂",positive
"Thank you...🙏🙏🙏.. respect from core of my heart...",positive
"Thanks a lot Abdul Bari Sir. You are the best <3",positive
"Sir is so much Genuine that he again made video of the same topic , only because he was not convinced by the previous one.He just thought about us that we might be having some problem. Hatts off to this man. Thank you sir.",positive
"Thankyou sir ❤️",positive
"You have tremendous teaching skills Abdul!! Thank you so much<3",positive
"Sir can u please explain - online algorithms... 1. Online Euclidean spanning tree problem solved by greedy method 2. Online k- server problem and greedy algorithm to solve this problem defined on planar trees",interrogative
"One of the best Dynamic programming videos out there.",positive
"please please someone explain this Find an optimal parenthesization of a matrix-chain product whose sequence of dimensions is <5, 10, 3, 12, 5, 50, 6>.",interrogative
"Asalamughlikom sir. Sir you have any tutorials on python programming or other pakistani teacher that I follow it. I am student of computer science in 5th semester.",positive
"Never ever ever ever heard such an interesting and extremely informative lecture in my 5 years as a student in CS.",positive
"good",positive
"Amazing explanation sir...Hats off!! And Thank you for all your work!!",positive
"Matrix Multiplication : 1:30 Matrix Chain multiplication : 4:43 Example Problem :  33:57 Time Complexity : 50:20 Hope it will help!",miscellaneous
"Sir u are god.... I am waiting for your next video..... Pl make it soon sir",imperative
"Example on 33:59",miscellaneous
"sir please delete that first one...it will be quite helpful in saving time.",imperative
"best algorithm teacher on youtube",positive
"love your explanation Sir",positive
"May I go to the washroom .. please",interrogative
"Lacoste !",miscellaneous
"that will be 66 not 86",corrective
"Very nice explanation sir..after watching this i got interested in enroll your cource in Udemy.",positive
"You are the king Sir",positive
"What if value of k table at (1,4) is 2 then  after 2 we put parentize so (A1. A2)*( A3. A4) was the final answer?",interrogative
"Sir. Kindly delete 4.3 video.. That was creating bit confusion.. But this is awesome..  You first shown how the actual matrix  multiplication is done and with that  you derived the formula which gave us a clear understanding.  In our class we spend nearly 2 hours to derive but I failed to understand but this gave me a clear understanding.. I feel worth watching your videos.. Thank you very much...",positive
"Side ho jaya kijiye sir for screenshot",miscellaneous
"33:00",miscellaneous
"Ye sir Hindi bole to bahut aacha rahega kyu apne desh me bahut poor people hai Jo class effort nahi kr pate hai So,I have request to sir please speak in hindi",imperative
"That smile at the end👌😅",positive
"Please consider making your previous video private or unlist it. @Abdul Bari",imperative
"The best teacher one could ask for!!!! Loved your videos",positive
"operating system computer network computer organization plz create videos",imperative
"at time 47:13 sir, the sum for k=1 is 66 not 86 sir",corrective
"Just wanted to add my praise for this video. Excellent teaching Abdul!",positive
"Thank you so much",positive
"Really fantastic. Thank you alot.",positive
"The best DAA teacher ever. Subscribe him right now",positive
"Thank You Sir...",positive
"Hey....",miscellaneous
"Thank you! Sir",positive
"That tutorial was amazing!!! Thanks",positive
"King of Algorithms 😎Complement from a silent fan of Sir Abdul Bari from Pakistan :)",positive
"saved my exam",positive
"Mind blowing sir....",positive
"Thank you sir....You saved me.",positive
